town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,latitude,longitude,distance_to_nearest_mrt_km,num_mrt_within_1km,distance_to_nearest_hawker_km,num_hawkers_within_1km,distance_to_nearest_library_km,num_librarys_within_1km,distance_to_nearest_hospital_km,num_hospitals_within_1km,distance_to_nearest_childcare_km,num_childcares_within_1km,distance_to_nearest_park_km,num_parks_within_1km,distance_to_nearest_communityclub_km,num_communityclubs_within_1km,distance_to_nearest_kindergarten_km,num_kindergartens_within_1km,distance_to_nearest_school_km,num_schools_within_1km,year,month_num,distance_to_downtown_core_km
13,3,1,104.0,8,1984,65,1.34508681384068,103.717978485296,0.3423,1,0.50994,2,1.57427,0,2.73294,0,0.0,29,0.56072,2,0.36055,2,0.37639,8,0.19093,8,2018,11,16.34015
14,2,7,70.0,13,2017,95,1.31291757072948,103.869743094328,0.24171,4,0.31356,2,1.85573,0,1.756,0,0.07664,17,0.58603,1,0.4254,2,0.07664,1,1.09854,0,2021,7,3.88008
3,3,0,104.0,8,1985,66,1.34926274020427,103.759190085587,1.06852,0,2.01217,0,1.10174,0,1.88823,0,0.11452,19,0.60862,5,0.11452,1,0.44279,3,0.51416,5,2017,10,12.60651
13,2,2,73.0,8,1989,68,1.34052311772669,103.689190161416,0.95963,1,0.89751,1,1.70081,0,5.96781,0,0.15094,21,0.53242,1,0.40307,1,0.19686,5,0.28893,2,2020,1,19.11067
3,3,3,93.0,12,1986,62,1.3605766052846,103.746834002944,0.59187,1,0.77652,1,1.23642,0,1.32325,0,0.04767,20,0.96424,1,0.33636,1,0.09744,4,0.23896,4,2022,5,14.45457
3,4,1,113.0,5,2020,94,1.35762861295926,103.738857524407,1.43975,0,0.4319,1,1.45255,0,0.96453,1,0.13256,13,1.84497,0,0.49336,1,0.82792,2,0.76147,4,2024,7,14.99233
24,5,1,189.0,3,1994,72,1.44007817169826,103.79107573281,0.56605,2,1.07121,0,0.72466,1,1.75687,0,0.0998,36,1.35837,0,0.31763,1,0.0998,8,0.32752,7,2020,9,18.67086
23,3,3,93.0,12,1984,63,1.33726999806036,103.862806558366,0.91448,2,0.67733,2,1.37483,0,2.36925,0,0.16096,18,0.60108,1,0.46316,4,0.61136,4,0.47449,5,2020,7,6.14245
23,3,0,82.0,5,1975,56,1.34183370695987,103.854370726041,0.85399,1,0.17459,5,0.98633,1,1.86142,0,0.19612,34,0.96325,2,0.61811,4,0.58624,8,0.21137,7,2017,10,6.52722
11,5,0,146.0,3,1984,62,1.35714585264641,103.888559580363,0.51365,1,0.35148,2,1.8076,0,2.95876,0,0.21298,24,0.36098,4,0.28331,3,0.34055,9,0.18151,5,2021,4,9.19104
